ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Esfuerzo Relativo,Desplazamiento al trabajo,Equipación de la actividad,Nombre del archivo
2512692468,2 jul. 2019 15:29:33,Calor de verano,Bicicleta,,9470,74.11,,false,,activities/2668308165.gpx.gz
2512692674,5 jul. 2019 15:34:44,Tarde de zurdilla,Bicicleta,,10427,59.65,,false,,activities/2668308369.gpx.gz
2512692916,3 jul. 2019 15:38:12,Granátula,Bicicleta,,9682,72.60,,false,,activities/2668308575.gpx.gz
2521348965,10 jul. 2019 15:32:28,Almagro - Daimiel,Bicicleta,,10172,79.78,,false,,activities/2677053249.gpx.gz
2521350438,8 jul. 2019 15:33:26,Tarde de Zurdilla,Bicicleta,Gasset - Pinos Altos,11847,71.11,,false,,activities/2677052764.gpx.gz
2524194592,11 jul. 2019 15:36:43,Tarde de Zurdilla a 43º,Bicicleta,Campo Mojado - Las Cruces,11780,60.33,,false,,activities/2679960673.gpx.gz
2589197738,4 ago. 2019 6:41:03,Malagón - Porzuna,Bicicleta,,9396,78.21,,false,,activities/2747145291.gpx.gz
2589198275,2 ago. 2019 15:34:05,Pinos Altos,Bicicleta,,7572,60.13,,false,,activities/2747145566.gpx.gz
2589214808,25 jul. 2019 15:44:22,42º,Bicicleta,Picón - Alcolea,11464,65.78,,false,,activities/2747144781.gpx.gz
2589215049,22 jul. 2019 16:15:13,Tarde de Zurdilla,Bicicleta,Daimiel,11349,64.44,,false,,activities/2747145035.gpx.gz
